Title,Year,Release Date,Overview,Keywords
Bride of Frankenstein,1935,1935-04-20,"Dr. Frankenstein and his monster both turn out to be alive, not killed as previously believed. Dr. Frankenstein wants to get out of the evil experiment business, but when a mad scientist, Dr. Pretorius, kidnaps his wife, Dr. Frankenstein agrees to help him create a new creature.","hermit, monster, lightning, cemetery, mill, mad scientist, black and white, comedic relief, frankenstein, shrunken human"
An American Werewolf in London,1981,1981-08-21,"American tourists David and Jack are savaged by an unidentified vicious animal whilst hiking on the Yorkshire Moors. Retiring to the home of a beautiful nurse to recuperate, David soon experiences disturbing changes to his mind and body.","dying and death, london, england, intensive care, nurse, loss of loved one, zoo, transformation, full moon, black humor, london underground, yorkshire, rural area, werewolf, creature, moor (terrain), british pub, dream sequence, hikers, london zoo, practical special effects"
Climax,2018,2018-09-19,"When a dance troupe is lured to an empty school, a bowl of drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night—and find who's responsible—before it's too late.","dancing, child abuse, sexual abuse, drug abuse, pregnancy, paranoia, orgy, imprisonment, lsd, surrealism, hallucinogenic drug, incest, drug overdose, disco, lgbt, spiked drink, psychological disintegration, acid, club music, punch bowl"
The Cabinet of Dr. Caligari,1920,1920-02-27,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.","insane asylum, silent film, unreliable narrator, expressionism, somnambulist, unreliable flashback, megalomania, madman, somnambulism, german expressionism"
The Sixth Sense,1999,1999-08-06,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.","dying and death, child abuse, philadelphia, pennsylvania, sense of guilt, afterlife, marriage crisis, loss of loved one, confidence, psychology, paranormal phenomena, single, psychological thriller, cowardliness, single mother, school play, ghost, mysterious, child, spiritism, ghost child, suspenseful, sentimental, gloomy, ominous"
Eraserhead,1977,1978-02-03,"First time father Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child. David Lynch arrived on the scene in 1977, almost like a mystical UFO gracing the landscape of LA with its enigmatic radiance. His inaugural work, ""Eraserhead"" (1977), stood out as a cinematic anomaly, painting a surreal narrative of a young man navigating a dystopian, industrialized America, grappling not only with his tumultuous home life but also contending with an irate girlfriend and a mutant child.","baby, nightmare, mutant, claustrophobia, parents-in-law, pencil, surrealism, torture, parallel world"
Braindead,1992,1992-08-13,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.","infidelity, poison, new zealand, reanimation, zombie, back from the dead, monkey, attempted rape, wellington new zealand, splatter"
The Wicker Man,1973,1973-12-06,"Police sergeant Neil Howie is called to an island village in search of a missing girl whom the locals claim never existed. Stranger still, however, are the rituals that take place there.","virgin, island, based on novel or book, sacrifice, scotland, ritual, cemetery, investigation, cult, human sacrifice, rural area, disappearance, paganism, policeman, psychotronic, voyeurism, may day, folk horror, song, sea plane, harvest festival, horror musical"
A Girl Walks Home Alone at Night,2014,2014-11-21,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.","vampire, loneliness, black and white, prostitution, drugs, woman director, vampiress (female vampire)"
28 Days Later,2002,2002-10-31,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","daughter, taxi, london, england, submachine gun, gas station, infection, outbreak, survival, laboratory, hospital, zombie, brutality, church, rage, epidemic, military, virus, speculative, waking from coma, animal research"
What We Do in the Shadows,2014,2014-06-19,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,"friendship, vampire, commune, new zealand, mockumentary, zombie, werewolf, suburb, heartbreak, fraternity, found footage, aftercreditsstinger, nosferatu, communal living, wellington new zealand"
Black Christmas,1974,1974-10-11,"As the residents of sorority house Pi Kappa Sigma prepare for the festive season, a stranger begins a series of obscene phone calls with dubious intentions...","winter, pregnancy, toronto, canada, murder, serial killer, slasher, police officer, killer, alcoholic, attic, voyeurism, christmas horror, sorority house, missing daughter, obscene telephone call, christmas, hiding in attic, comedic relief, holiday horror"
The Evil Dead,1981,1981-09-10,"In 1979, a group of college students find a Sumerian Book of the Dead in an old wilderness cabin they've rented for a weekend getaway.","falsely accused, audio tape, aggression, log cabin, friends, zombie, occult, book of the dead, necronomicon, demonic possession, aggressive"
Tenebre,1982,1982-10-28,"A razor-wielding serial killer is on the loose, murdering those around Peter Neal, an American mystery author in Italy to promote his newest novel.","rome, italy, anonymous letter, serial killer, whodunit, series of murders, american abroad, axe murder, police investigation, haunted by the past, razor blade, crime novelist, video nasty, bloody death, woman murder"
A Nightmare on Elm Street,1984,1984-10-31,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","dream, nightmare, sadism, psychopath, sleep, child murder, supernatural, ohio, murder, slasher, trapped, alcoholic, boiler room, booby trap, nostalgic, disfigurement, medical test, nightmare becomes reality, supernatural horror, ghoulish"
Black Swan,2010,2010-12-03,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,"new york city, dancing, dancer, nightmare, competition, obsession, insanity, paranoia, hallucination, ballet dancer, ballet, female protagonist, psychological thriller, fear, heartbreak, mental illness, madness, reality vs fantasy, swan lake, ballerina, stage performance, aggressive, self-harm, mother daughter relationship, self destructiveness, theater, pointe shoes, adoring"
Misery,1990,1990-11-30,"After stalking and saving the life of her favorite fiction author in a car accident, his  manic obsessor holds him captive in her remote Colorado home then forces him to write back to life the popular literary character he killed off.","based on novel or book, nurse, psychopath, colorado, car crash, author, slasher, psychological thriller, torture, obsessed fan, blizzard, bedridden, female psychopath, claustrophobic, obssesive fan, rural setting, fight for survival, bottle movie"
Shaun of the Dead,2004,2004-04-09,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.","london, england, dark comedy, satire, surrey, parody, slacker, friends, survival, zombie, survival horror, british pub, boyfriend girlfriend relationship, zombie apocalypse"
The Shining,1980,1980-05-23,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","hotel, child abuse, based on novel or book, isolation, telepathy, delusion, grave, snowstorm, colorado, seclusion, surrealism, alcoholism, premonition, psychic power, caretaker, loneliness, vision, domestic violence, postmodern, psychological thriller, writer, electronic music score, twins, labyrinth, alcoholic, blizzard, mutilation, bloody body of child, extrasensory perception, uxoricide, motherhood, filicide, snowed in, burial ground, hypothermia, haunted hotel, psychological disintegration, detached, paranoid, vexed, afi, frantic, pediatrician, repetition, mother son relationship, malicious, supernatural power, supernatural horror, ghost child, psychotronic film, writers-block, cabin fever, psychological horror, negative, deal with the devil, nuclear family, avant garde, yosemite national park, egotistical, twin sisters, identical twins, arrogant, assertive, demeaning, enraged, frustrated, harsh, mean spirited, sardonic"
The Killing of a Sacred Deer,2017,2017-10-20,"Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways.","husband wife relationship, hostage, psychopath, insanity, blackmail, surgeon, paralysis, dysfunctional family, paranormal, revenge, hospital, cruelty, brutality, cafe, cardiologist, recovering alcoholic, open heart surgery"
Aliens,1986,1986-07-18,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.","android, space marine, extraterrestrial technology, spaceman, space travel, settler, colony, cryogenics, vacuum, space colony, warrior woman, alien, space, female protagonist, creature, desolate, female hero, xenomorph, desolate planet, strong female protagonist"
